id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-495.17755,105.859955,15.080761,9.253181,-3.3147712,1.6242516,6.490727,7.494501,0.92415386,-0.27392107,-9.653082,-6.149645,-4.6024227,4,3,26.9,05_22_02:59:33,0.1,0
1,-475.1571,99.89603,14.216562,20.881042,2.222773,1.9262401,-5.674011,-2.4158835,-9.731123,0.032528073,-16.63671,-3.554637,-7.9383397,7,6,18,05_22_02:59:33,0.2,0
2,-435.28632,84.83748,-14.964861,21.991587,-11.510908,-3.4262369,-7.264245,-14.276579,-11.579537,13.152319,6.984005,-4.093347,-16.26483,10,8,53.9,05_22_02:59:33,0.3,0
3,-435.576,79.375565,2.5833862,24.8104,4.697107,-6.2480717,-2.3686023,-8.859837,-17.259987,5.705276,-9.600988,4.5567784,-20.548916,13,11,43.9,05_22_02:59:33,0.4,0
4,-439.32224,87.31711,-10.466299,30.467422,-2.6604314,-0.9472085,-8.237486,-7.831644,-23.63876,2.154293,5.8646746,-12.178494,-11.927385,16,13,51.1,05_22_02:59:33,0.5,0
5,-413.76266,85.63435,-36.16024,20.872452,-4.821164,0.8526161,-2.6052117,-2.5042224,-5.007097,9.205323,10.925008,-5.801862,-29.176414,19,16,51.3,05_22_02:59:33,0.6,0
6,-491.8839,102.732,-0.8867664,16.49131,-0.30343363,1.6497054,-1.42388,-4.573476,-4.944383,6.1479273,-0.74674106,1.8637266,-14.411833,22,18,45.2,05_22_02:59:33,0.7,0
7,-488.61932,95.80172,4.8987103,16.945148,-0.4569964,2.3300214,2.2489033,2.1377096,0.38882488,8.383837,0.36952046,6.2839003,-2.6627297,25,21,142.4,05_22_02:59:33,0.8,0
8,-412.04498,59.522182,30.074474,28.829832,9.8647585,7.6365047,1.014679,5.3624945,-1.7068452,14.059454,-14.197204,-0.9268513,-5.9179063,28,23,144.5,05_22_02:59:33,0.9,0
9,-428.4514,91.79438,-19.213528,22.258827,10.300524,1.6203685,2.0206418,11.716328,-3.3196626,11.473404,12.866289,5.466701,-10.016274,31,26,22.9,05_22_02:59:33,1,0
10,-406.16016,101.40399,-3.768164,31.996355,-2.4166303,4.1052885,-7.102174,-13.066553,-20.589314,10.26081,0.8188775,0.6939639,-0.36032367,34,28,8.5,05_22_02:59:33,1.1,0
11,-395.85794,98.80698,-22.316923,22.529148,-8.56563,-5.732669,-8.656552,-4.6439333,-6.863895,11.690534,7.0965505,5.687189,-9.344881,37,31,27.2,05_22_02:59:33,1.2,0
12,-393.8658,86.27434,-19.346321,27.834614,-13.043023,0.8933338,10.473528,0.5563798,-1.5329595,11.528404,8.06815,6.3477197,-18.299978,40,33,23.3,05_22_02:59:33,1.3,0
13,-393.61224,87.348595,-18.320078,29.505415,4.3364882,-0.79553616,-0.002469331,-12.097048,-14.921437,5.6013813,2.3993218,3.281323,-10.5659275,43,36,30.3,05_22_02:59:33,1.4,0
14,-384.40454,87.5244,-28.298786,26.18552,1.7435418,-0.9680711,-6.3662815,-9.322503,-7.999569,12.991293,5.7344103,6.3609004,-12.577849,46,38,18,05_22_02:59:33,1.5,0
15,-387.9361,94.423004,-26.33601,29.028187,4.2913976,-8.976315,-3.2037168,0.6446371,-12.832665,3.884912,1.5635397,-1.5082921,-5.024661,49,41,23.3,05_22_02:59:33,1.6,0
16,-376.6482,89.87355,-41.8905,25.37535,3.242126,2.5561683,-5.997402,-9.9776,-17.999601,5.075285,5.241302,8.093039,6.4051046,52,43,52.5,05_22_02:59:33,1.7,0
17,-380.18814,92.16814,-42.207592,34.25022,5.674027,-5.577282,-11.205591,-2.7939153,0.25181162,16.554012,1.5945315,8.045693,-5.4385996,55,46,62.6,05_22_02:59:33,1.8,0
18,-376.28336,83.801926,-31.974606,33.212494,4.3023005,-3.125779,-12.18478,-3.3351176,-9.407078,4.4604187,-10.690612,12.868622,-5.4685593,58,48,35.5,05_22_02:59:33,1.9,0
19,-375.08435,78.63307,-41.334114,38.192177,2.9921224,1.5756106,-4.2815723,-0.48736703,8.472507,13.011227,-3.2258358,5.63758,-28.476648,61,51,24.4,05_22_02:59:33,2,0
20,-369.64664,69.07185,-48.40148,29.954912,-4.2719536,5.4114304,3.9828932,0.861151,-18.116358,7.6387935,-4.355043,0.3404436,-17.627865,64,53,89.4,05_22_02:59:33,2.1,0
21,-371.02075,84.26181,-37.05831,34.10438,2.4170887,-1.9539018,-0.7281414,-6.25134,-23.87949,0.43845883,1.9556737,3.310756,-9.873472,67,56,42.3,05_22_02:59:33,2.2,0
22,-359.73215,94.406006,-44.325687,20.278934,-1.3593966,3.2994318,6.119606,-0.53202534,-14.793819,9.346714,2.1036408,1.2869081,-6.9019513,70,58,38.2,05_22_02:59:33,2.3,0
23,-352.17288,76.147736,-47.658333,31.200686,2.9893677,11.580025,4.134758,1.5369084,5.387752,23.314457,-2.0367448,-8.015617,-11.822774,73,61,116.8,05_22_02:59:33,2.4,0
24,-343.30786,75.69801,-51.906433,25.79145,0.70237505,5.153694,0.007715583,-1.5579567,-1.0068895,6.4301243,-11.640707,-0.5824871,3.912215,76,63,71.2,05_22_02:59:33,2.5,0
25,-361.4034,79.550934,-49.59177,22.665936,13.489588,10.405958,-5.666709,7.1640835,3.0662332,-0.38512027,-11.420703,2.3373604,4.816816,79,66,133.6,05_22_02:59:33,2.6,0
26,-344.55225,77.13695,-51.1846,24.766722,8.491179,12.04274,-12.48444,-3.2001646,3.3425999,-4.7465277,-10.209011,13.718096,4.1249933,82,68,72.8,05_22_02:59:33,2.7,0
27,-370.70425,84.5639,-31.5535,24.645782,5.1532288,10.092708,-10.475277,-1.22701,-1.8078933,-3.7480023,-6.2048125,4.486242,-2.8206468,85,71,65.4,05_22_02:59:33,2.8,0
28,-392.7298,70.27316,-24.648869,40.055748,15.185019,10.328253,-9.5198965,8.00208,19.174053,4.816082,-11.230294,5.026374,2.6481555,88,73,38.9,05_22_02:59:33,2.9,0
29,-379.90442,61.25697,-21.584288,46.615532,13.354015,7.1576214,-15.139459,8.550172,3.3039098,4.44639,-18.447033,4.8163733,8.7586,91,76,60.8,05_22_02:59:33,3,0
30,-372.8406,72.42329,-40.675503,32.68416,5.6345444,4.6462755,-8.748888,9.310693,3.2222865,2.355816,-6.4866095,6.1642284,3.0510528,94,78,57.8,05_22_02:59:33,3.1,0
31,-370.37292,76.55522,-28.148228,26.244576,9.846233,7.518127,-6.3102226,4.452822,5.475424,7.11876,-11.312923,-1.3509119,-10.136738,97,81,61.8,05_22_02:59:33,3.2,0
32,-400.39282,86.52948,-18.053497,34.69493,8.159769,8.1837225,0.5682152,3.752689,3.786232,-0.75273097,-14.76523,-7.0751085,-3.965841,100,83,24.8,05_22_02:59:33,3.3,0
33,-362.54138,75.02025,-34.480812,25.690674,16.891937,-1.8829381,-10.314176,6.1234326,15.01416,1.568724,-18.061201,-4.797886,0.067915305,103,86,115.1,05_22_02:59:33,3.4,0
34,-384.80722,83.06441,-27.825478,39.71971,11.332958,-2.2751994,-8.557208,9.673098,11.4836445,6.0359716,-15.673696,-11.367806,-9.051633,106,88,317.7,05_22_02:59:33,3.5,0
35,-412.05,96.02082,-10.569386,41.38243,10.909525,5.3266687,-0.9321901,4.0017643,3.244804,5.8089447,-10.800941,-6.8045387,3.0261998,109,91,372.5,05_22_02:59:33,3.6,0
36,-422.78088,86.66217,-15.406443,40.885548,16.363964,5.5901203,-3.8132553,1.4978824,-0.46577686,-2.213713,-9.048779,-3.1344903,-2.1317425,112,93,228.6,05_22_02:59:33,3.7,0
37,-381.20062,74.561264,-30.434242,43.550648,19.052471,4.97861,-7.0649223,0.12667623,4.463239,8.819868,-17.014889,-4.0175056,7.001649,115,96,246.2,05_22_02:59:33,3.8,0
38,-398.18634,53.113586,21.342978,22.648811,18.076992,2.645427,-8.577683,1.5221701,-3.8829212,8.968093,-17.253607,4.980637,1.3244749,118,98,151.8,05_22_02:59:33,3.9,0
39,-379.8761,68.22314,-20.575874,33.56077,19.643955,1.1488715,-3.102234,4.2614765,1.5075537,5.1100965,-19.2029,-2.913125,1.4187838,121,101,97.8,05_22_02:59:33,4,0
40,-372.00488,46.784447,-10.778033,31.441906,24.572002,-2.1948638,-4.883331,3.3127124,3.1554735,12.256797,-15.974015,3.3677402,4.666844,124,103,86.4,05_22_02:59:33,4.1,0
41,-422.6787,92.15925,-3.5765543,24.08068,6.70522,9.38085,-2.527012,-4.3980746,-7.112108,9.058425,-0.38649237,2.1503394,2.1403344,127,106,67.3,05_22_02:59:33,4.2,0
42,-382.18396,83.61359,-36.702084,38.468254,18.819374,3.3174906,-1.486577,6.5120983,13.66086,5.645752,-12.378487,8.586092,12.682627,130,108,203.6,05_22_02:59:33,4.3,0
43,-421.0339,96.43319,-5.898235,36.758728,11.826667,-1.8945836,-3.5633414,-4.409469,-6.488753,-5.2749333,-13.955231,-2.7279577,0.22498238,133,111,315,05_22_02:59:33,4.4,0
44,-371.66428,74.883545,-39.203083,39.98242,20.433794,-3.947093,-7.2558923,10.4299,11.472869,0.502533,-28.541252,-3.2352176,7.608325,136,113,324.4,05_22_02:59:33,4.5,0
45,-386.13364,64.57308,-37.87059,38.404503,20.721611,2.9818163,-4.126255,8.879082,19.43155,10.3034725,-15.416697,-0.6568425,12.455485,139,116,246.7,05_22_02:59:33,4.6,0
46,-401.1336,73.94249,-26.188295,30.870346,17.55077,4.1750574,-2.9527721,7.2582464,14.358032,4.6558065,-13.802845,7.2362537,10.392224,142,118,162.6,05_22_02:59:33,4.7,0
47,-396.89566,74.87394,-22.815454,37.55849,18.657125,2.1415303,-3.373179,9.142201,13.691021,-0.533494,-15.426531,2.7692995,4.0203147,145,121,121.6,05_22_02:59:33,4.8,0
48,-386.76712,84.97839,-25.332838,37.967545,20.413448,4.016586,-9.58399,2.6840637,8.979673,-2.313339,-21.109224,2.587772,12.484106,148,123,70.6,05_22_02:59:33,4.9,0
49,-373.41965,95.35718,-20.469995,36.07224,14.039219,-4.793987,-14.1097145,3.09398,3.1401863,-7.512992,-26.48302,-2.0955424,-0.8889534,151,126,45.3,05_22_02:59:33,5,0
