,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
0,0,3,38.0,3,0,05_22_14:48:48,0.1,-480.4641,47.497425,18.161602,8.885823,17.039295,15.090331,11.130001,-1.2138298,-10.727498,7.5427036,-4.4220643,-14.092781,-2.6608615,10.440264,3.558369,8.511325
1,1,6,79.1,6,0,05_22_14:48:48,0.2,-509.37946,80.92504,14.890628,7.539999,16.282658,9.898671,2.1172812,-8.897226,-12.488155,5.643945,-5.998746,-6.0079374,-11.863797,7.6906652,-4.83924,1.4150038
2,2,9,51.1,8,0,05_22_14:48:48,0.3,-532.5937,92.393524,7.401951,9.759567,12.5277,11.745564,9.649294,-5.763177,-7.6413355,10.263667,-13.759592,-8.273369,-8.881832,-0.25626254,-3.2967699,5.5145483
3,3,12,52.0,11,0,05_22_14:48:48,0.4,-526.37506,88.341354,12.933926,12.923349,7.4844027,8.656546,2.1983232,-0.4078614,-10.0644865,5.732363,-9.555686,-11.859372,-8.201632,2.4148161,-3.5314867,-4.9384613
4,4,15,28.5,13,0,05_22_14:48:48,0.5,-505.5363,64.248375,18.361607,4.6230574,19.463837,4.459151,-1.8412256,0.9725417,-2.9310596,9.580767,-11.739372,-13.672807,-16.41864,6.5609646,7.763301,1.7709317
5,5,18,34.5,16,0,05_22_14:48:48,0.6,-475.0584,60.683937,1.7148439,14.094603,20.906286,3.3495474,-7.715782,3.067277,-8.017228,0.67594767,-8.020411,-13.266895,-11.753547,11.132979,2.3390975,0.29876757
6,6,21,31.2,18,0,05_22_14:48:48,0.7,-460.20135,53.578682,-22.501865,20.353577,23.856647,6.6184072,-2.6854672,7.771415,-15.641638,1.354189,-9.138388,-9.898684,-12.895239,7.3552427,0.47501862,3.951342
7,7,24,40.5,21,0,05_22_14:48:48,0.8,-460.68683,48.797417,-14.821978,24.832638,23.578075,-5.829387,-1.270079,11.09119,-6.155548,-0.26135355,3.1134877,-5.7393045,-22.96553,3.8915746,11.293197,3.4171362
8,8,27,100.8,23,0,05_22_14:48:48,0.9,-458.54764,62.916313,-13.99127,13.111904,18.110842,-2.5492342,-0.23797846,4.3278375,-4.687274,17.630798,-4.4037223,-11.95438,-14.998877,4.1348186,-5.129282,-5.9668975
9,9,30,71.5,26,0,05_22_14:48:48,1.0,-479.81296,61.035934,-2.2099476,21.75008,20.902088,3.5633745,-2.015442,7.5987434,-8.165773,7.8816967,-4.7356453,-12.931677,-15.493467,11.993677,1.1909393,-3.8146033
