,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
0,0,4,44.5,4,0,10_11_20:20:05,0.2,-370.1818,119.73052,4.4504547,7.610244,7.8945932,6.5186787,5.578831,-1.620507,-11.815388,-5.8774633,2.9538174,-1.0290759,-4.488696,1.491375,-13.456276,-7.5586185
1,1,7,7.4,7,0,10_11_20:20:05,0.3,-370.6742,114.28554,0.29949087,14.929531,7.6493363,-3.3052168,0.63367885,10.896811,-0.5087835,0.68441635,-1.2898195,3.8400378,-1.3729323,5.201841,-5.635982,0.94110245
2,2,10,43.3,9,0,10_11_20:20:05,0.4,-364.61893,122.917114,1.6843281,12.248898,8.097885,4.4997253,-2.3337774,5.751934,-1.804416,2.8055022,2.0466716,5.600701,-5.803697,2.016182,-8.150532,-0.50837964
3,3,13,41.0,12,0,10_11_20:20:05,0.5,-367.93134,120.186325,1.0510187,13.047379,13.876665,7.495819,6.6895685,6.2723722,-7.7147927,-0.032320976,1.9459147,1.0167191,-5.2670126,4.5657,-8.20466,-0.07029486
4,4,16,17.5,14,0,10_11_20:20:05,0.6,-370.67123,118.96797,2.5059273,14.233025,9.576594,0.51887786,4.360926,11.948978,-6.4624805,0.74176824,-1.8943213,4.22728,-0.30077925,1.9832488,0.25106025,10.259651
5,5,19,55.9,17,0,10_11_20:20:05,0.7,-368.2296,118.88461,5.697417,12.258146,5.11907,-3.6696274,3.5237405,11.045354,3.0578256,3.8410344,-3.279696,3.284418,-7.2122765,7.6776476,1.8407292,9.089308
6,6,22,36.3,19,0,10_11_20:20:05,0.8,-369.0285,119.83412,4.046706,16.682764,12.79895,6.0013304,3.2025762,5.150841,-4.2860303,1.7773328,2.1204755,7.3254786,2.675922,7.893091,-6.3657303,-0.3684349
7,7,25,27.2,22,0,10_11_20:20:05,0.9,-365.89093,118.86206,-1.9729447,13.61576,7.1931496,-2.1188989,1.3926305,6.826394,-9.223102,-0.7902875,2.804556,7.6167164,2.2430825,8.518917,1.0853925,5.627078
8,8,28,24.4,24,0,10_11_20:20:05,1.0,-365.40112,122.98033,3.292593,9.919512,7.278843,3.5665166,8.374915,10.237495,-3.950435,-0.38138244,-0.34965116,3.3871605,-5.455255,3.4428203,-2.575771,6.2928114
9,9,31,38.0,27,0,10_11_20:20:05,1.1,-365.89624,121.32788,5.8325486,12.331399,7.65621,1.8138158,1.8469858,2.4729059,-3.9616756,6.8916655,-0.86068714,2.7218332,0.27286226,8.3395195,-1.0737499,8.648144
10,10,34,48.2,29,0,10_11_20:20:05,1.2,-369.65274,121.94473,6.1453376,17.76628,4.838334,0.69669294,5.669084,8.935013,2.5185518,0.50680184,-3.253952,3.8627326,-2.3053775,5.2342257,1.9325364,6.7172594
11,11,37,83.2,32,0,10_11_20:20:05,1.3,-367.79797,117.77808,2.773832,14.988125,9.405991,3.8734827,3.3959234,5.199222,-4.096379,-1.8670366,4.0435514,1.0772544,-11.509441,4.156858,-4.1572375,2.4149003
12,12,40,40.3,34,0,10_11_20:20:05,1.4,-370.0627,117.99846,2.175201,13.668858,13.074635,4.275277,2.2239761,4.4346623,-7.7073135,-2.7646294,-0.3661887,0.7885213,-3.906449,7.3484726,0.7547786,6.269182
13,13,43,60.4,37,0,10_11_20:20:05,1.5,-370.5356,119.19606,4.968954,14.803719,14.281475,4.04552,2.4999027,7.4047136,-4.491852,-0.22223566,-0.2848523,-0.8312504,-10.51406,2.893005,-1.3597605,3.6215389
14,14,46,45.3,39,0,10_11_20:20:05,1.6,-365.81204,120.45792,3.076654,13.296268,4.7978597,-1.0075222,-0.05921817,6.3510103,-0.4854489,-0.147448,-2.0642166,6.0307655,6.230566,10.09329,0.5120919,3.8097115
15,15,49,24.8,42,0,10_11_20:20:05,1.7,-366.09537,122.9859,8.146862,18.244514,8.875649,-0.6521108,2.0902917,6.7949862,-0.39571488,0.38893726,-6.567705,-3.2161782,-4.4413567,2.8275,-2.6361408,1.3087637
16,16,52,50.3,44,0,10_11_20:20:05,1.8,-364.3701,118.223114,-1.1271919,12.314367,9.395944,4.932025,5.3782682,5.8600903,-9.44877,-1.0330368,-2.9875703,5.9130945,3.49474,8.747709,-0.87662166,2.3383958
17,17,55,55.9,47,0,10_11_20:20:05,1.9,-371.2767,114.1752,5.102867,18.6175,9.02597,1.575454,2.7994895,4.3580813,-4.477923,3.6162238,1.1579964,5.12397,-3.5296712,1.8184311,-4.5741568,6.180181
18,18,58,38.9,49,0,10_11_20:20:05,2.0,-370.06415,118.57381,2.3449867,14.64572,5.897482,-3.9955387,0.78904355,9.20838,-3.1420493,1.3362937,0.7684415,7.928131,2.800786,10.590312,-3.263371,2.6856587
19,19,61,77.4,52,0,10_11_20:20:05,2.1,-364.20175,122.26204,6.96476,19.662579,11.651268,1.283009,2.7477684,8.948519,-6.1459713,1.266613,2.7731845,4.326152,-2.330474,4.422134,-0.8290045,6.972437
