,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
0,0,5,54.2,6,0,10_12_00:04:24,0.3,-375.07153,123.294426,8.861372,20.386852,17.444818,0.64905536,9.805489,13.989101,-0.038754553,10.755636,2.5260084,-5.9398875,-8.024801,4.0738196,-6.638648,-1.3145528
1,1,9,23.3,8,0,10_12_00:04:24,0.4,-372.66943,126.428856,10.853984,19.84808,12.690933,3.0067563,6.5888014,11.7397785,-1.6487391,1.5892488,-4.720573,0.6408466,-1.7681481,1.143886,-6.9125953,6.351421
2,2,11,18.0,11,0,10_12_00:04:24,0.5,-370.18747,125.73674,4.8152742,18.33266,8.480394,4.0104904,9.341235,13.636555,3.7274425,4.5340505,-2.4428096,6.9092216,3.1515527,5.742532,-7.051303,-0.57277316
3,3,14,65.4,13,0,10_12_00:04:24,0.6,-371.54672,128.25381,7.1908054,21.56689,12.486515,0.54391736,8.136597,9.673815,-0.67016566,-0.6260433,-6.648322,1.2174948,-6.1390142,-1.6779268,-8.23546,2.0766587
4,4,18,61.6,16,0,10_12_00:04:24,0.7,-370.3954,127.19864,7.3614125,20.575338,15.795397,9.49537,5.718012,4.9287057,-1.5295813,7.6377583,-1.3526003,1.1253161,-0.35040915,0.6431227,-7.104682,1.5571446
5,5,21,47.5,18,0,10_12_00:04:24,0.8,-366.95016,128.17659,6.9048433,19.607311,8.307135,3.6392136,4.402507,12.756897,2.1284683,6.2654076,-4.593837,-0.76653355,3.2809458,2.3237298,-4.5402017,3.7183056
6,6,23,42.7,21,0,10_12_00:04:24,0.9,-364.6777,130.09741,4.9805207,14.564299,8.461249,5.229724,1.9541556,9.863464,-5.2134004,4.589374,2.3668938,3.7815173,-2.0825448,1.0550872,-11.993837,2.107181
7,7,27,48.4,23,0,10_12_00:04:24,1.0,-341.32062,105.689804,2.5368333,21.76715,12.742998,5.648715,9.032335,9.556692,-9.03282,5.7046227,-0.96081644,2.4283276,-4.414732,10.295474,-0.15589762,1.8442874
8,8,30,38.2,26,0,10_12_00:04:24,1.1,-366.06784,120.76112,5.937626,19.0011,8.519287,7.763249,5.0422935,5.2804623,-4.6471634,0.43479192,-6.028143,-4.0302243,-2.8617122,7.1861596,-4.290633,-0.28292114
9,9,33,77.5,28,0,10_12_00:04:24,1.2,-369.3413,120.43555,-1.6150873,17.218266,13.579807,7.8617764,6.551676,14.556768,-3.319486,0.3723743,-0.33262852,0.9695908,-6.0669937,-0.9409983,-6.728779,-0.60155094
10,10,36,24.8,31,0,10_12_00:04:24,1.3,-367.43332,118.35269,2.9082391,16.23913,10.721962,11.576155,5.3639245,10.450483,-0.8576348,5.4857736,-2.0918236,-2.4919257,-5.606548,3.4709742,-1.96789,5.450313
11,11,39,39.8,33,0,10_12_00:04:24,1.4,-365.15823,123.65194,5.921873,25.54392,7.6778593,6.8494787,6.987259,12.594156,3.218406,1.0821357,-7.0147853,1.7667854,-1.8663776,8.143217,-6.129678,-0.003001213
12,12,42,44.3,36,0,10_12_00:04:24,1.5,-364.2727,124.23938,-0.32699186,17.829113,17.624504,11.608041,8.048998,11.027141,-1.857482,2.125992,-0.4973585,0.056645453,-3.7233667,2.5384564,-4.7433286,-1.9145347
13,13,45,41.2,38,0,10_12_00:04:24,1.6,-364.7756,118.18143,3.5648603,18.252197,7.616988,9.323067,7.550888,12.783398,7.9501762,4.936552,-5.7098045,-0.7938211,0.8517395,7.945706,0.34276938,4.537129
14,14,48,51.3,41,0,10_12_00:04:24,1.7,-354.03226,123.82184,4.1719394,18.466684,10.033806,8.189608,5.0092034,17.596893,4.537863,4.500875,-1.9821163,0.17954646,-4.928899,7.0607214,3.0663755,3.0281115
15,15,51,68.6,43,0,10_12_00:04:24,1.8,-362.77325,119.59036,4.831696,18.064594,7.631202,10.108562,8.616764,16.092117,3.4149618,7.536874,-0.95092094,2.05779,-4.2419367,5.3833456,-2.073728,3.9417815
16,16,54,65.9,46,0,10_12_00:04:24,1.9,-358.4467,130.05814,9.413456,23.215748,7.7324557,3.8083677,7.266571,13.441256,-3.0519772,4.5222564,4.3249927,7.953329,0.4316162,5.6696143,-8.064083,0.8400911
17,17,57,35.3,48,0,10_12_00:04:24,2.0,-356.9035,124.53938,-0.15972012,20.442837,12.838322,14.138492,10.322553,11.850933,-1.3759574,1.8047239,-0.28960496,3.153303,-5.2517023,8.013421,-2.5995722,5.614301
18,18,60,31.8,51,0,10_12_00:04:24,2.1,-361.1295,118.885765,3.1574152,19.600418,10.998202,10.068923,9.111776,10.441351,0.48652285,6.532438,4.3647146,4.6718426,-2.4920452,6.587559,-2.5229747,1.49559
