id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-480.4641,47.49743,18.161602,8.885824,17.039295,15.090331,11.130001,-1.2138315,-10.727491,7.5427012,-4.422062,-14.092783,-2.6608593,3,3,38,05_22_14:48:48,0.1,0
1,-509.37946,80.92505,14.890629,7.539999,16.28266,9.898671,2.117281,-8.897227,-12.488155,5.643944,-5.998746,-6.0079384,-11.863797,6,6,79.1,05_22_14:48:48,0.2,0
2,-532.5937,92.39352,7.40195,9.759569,12.5277,11.7455635,9.649294,-5.763177,-7.6413355,10.263667,-13.759593,-8.27337,-8.881832,9,8,51.1,05_22_14:48:48,0.3,0
3,-526.37506,88.341354,12.933926,12.923349,7.484403,8.656546,2.1983232,-0.4078622,-10.064486,5.732363,-9.555687,-11.859373,-8.2016325,12,11,52,05_22_14:48:48,0.4,0
4,-505.5363,64.248375,18.361607,4.6230574,19.463839,4.4591513,-1.8412257,0.97254145,-2.9310594,9.580767,-11.739372,-13.672808,-16.418642,15,13,28.5,05_22_14:48:48,0.5,0
5,-475.0584,60.683937,1.7148441,14.094602,20.906286,3.3495474,-7.715782,3.067277,-8.017228,0.6759483,-8.020411,-13.266896,-11.753548,18,16,34.5,05_22_14:48:48,0.6,0
6,-460.20135,53.578682,-22.501865,20.353577,23.856647,6.6184077,-2.6854672,7.7714148,-15.641638,1.3541894,-9.138387,-9.898682,-12.895239,21,18,31.2,05_22_14:48:48,0.7,0
7,-460.68683,48.797417,-14.821977,24.832638,23.578075,-5.829387,-1.2700791,11.09119,-6.155548,-0.2613532,3.113488,-5.7393045,-22.96553,24,21,40.5,05_22_14:48:48,0.8,0
8,-458.54764,62.916313,-13.99127,13.111904,18.110842,-2.5492344,-0.23797864,4.3278375,-4.687274,17.630798,-4.4037223,-11.954381,-14.998877,27,23,100.8,05_22_14:48:48,0.9,0
9,-479.81296,61.035934,-2.2099476,21.75008,20.902088,3.5633752,-2.015442,7.5987434,-8.165773,7.8816967,-4.735646,-12.931676,-15.493466,30,26,71.5,05_22_14:48:48,1,0
10,-472.40765,85.07214,-13.2843895,15.46446,19.491644,-1.1804719,4.928984,4.700863,-3.104046,3.2888818,-6.702461,-13.721703,-13.62465,33,28,36.8,05_22_14:48:48,1.1,0
11,-484.2907,76.02745,-17.717743,22.695242,27.639904,-0.9141475,3.1651497,-2.4872391,3.3258712,13.635813,0.7004316,-18.528786,-13.176246,36,30,33.4,05_22_14:48:48,1.2,0
