id,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,label,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,now_timegap
0,3,2,54.7,05_23_03:00:07,0,-400.47552,87.416016,28.51954,34.729797,11.45591,5.12773,-9.789924,0.11374843,-11.452309,7.1623726,-10.505146,-13.751208,-17.641298,0.1
1,6,5,46.9,05_23_03:00:07,0,-449.20325,88.56453,6.5175657,22.512527,2.4900262,3.588895,-9.9539585,-5.332384,-10.172422,5.3938127,-5.624596,-5.2021422,-10.404289,0.2
2,10,8,30.3,05_23_03:00:07,0,-459.80374,97.13258,-0.3024869,31.258812,13.660791,2.295805,-2.3977957,-3.3745368,-5.5332994,5.6922245,-6.8000174,-1.5659294,-6.8111672,0.3
3,13,10,41.2,05_23_03:00:07,0,-430.60626,99.86546,5.1294136,26.753128,11.218098,0.96672964,-10.167771,-2.0957642,-10.379619,1.6533496,-10.17397,-4.445158,-15.251268,0.4
4,16,13,40.3,05_23_03:00:07,0,-448.33267,109.22417,1.758084,26.856731,9.721441,-4.7607946,-6.021409,-3.4653192,-6.228093,8.70281,-2.9763482,-4.2882514,-11.3703985,0.5
5,19,15,22.9,05_23_03:00:07,0,-401.5758,97.039246,9.315558,32.18584,-0.40692195,1.8507819,-8.499771,-10.469193,-15.041254,0.20423663,-2.94383,-6.9759426,-15.394544,0.6
6,22,17,51.1,05_23_03:00:07,0,-439.90146,108.442474,10.113419,22.339134,0.35992908,-2.6448133,-7.8065777,0.42969704,-3.65775,5.1755123,-0.34313583,3.0053735,-9.959904,0.7
7,25,20,42,05_23_03:00:07,0,-462.45688,110.32167,11.172617,30.092045,11.426685,0.6061197,-3.9440367,1.7704446,-4.994116,2.3761575,-1.5120037,2.3483062,-11.213013,0.8
8,27,23,55.5,05_23_03:00:07,0,-432.88745,107.185486,19.71913,33.987595,15.552633,4.941726,-7.147524,-0.29671925,-8.800081,5.790415,-7.161503,-5.8801236,-9.551167,0.9
9,31,25,78.2,05_23_03:00:07,0,-452.02133,112.81833,12.833493,31.545813,15.651747,3.9554062,-2.7322357,-0.40358776,-7.7247868,4.785019,-8.522062,-0.7321664,-8.299748,1
10,34,28,71.2,05_23_03:00:07,0,-409.52264,108.52231,7.3148723,25.421522,10.221354,5.402997,-5.396192,-5.806508,-13.67947,3.66446,-7.96965,-3.8253412,-11.348846,1.1
11,36,30,57.1,05_23_03:00:07,0,-445.47937,108.240135,14.344603,29.036617,13.898801,9.281731,-0.5574883,-1.183488,-11.717754,-1.1727377,-1.5076435,1.4780846,-12.526787,1.2
12,40,33,19,05_23_03:00:07,0,-409.07394,80.43677,5.878104,24.90807,18.87843,7.301193,10.367754,-5.222892,0.32786572,3.260652,-2.6076884,-12.095428,-15.695792,1.3
13,41,35,53.9,05_23_03:00:07,0,-457.67944,87.6541,17.754936,31.139233,13.776564,1.8109627,-5.831078,3.033214,0.12178391,7.286879,-2.0252028,0.7795536,-7.2235804,1.4
14,46,38,52,05_23_03:00:07,0,-435.18002,84.20824,7.3081026,14.143591,15.139048,-1.4714749,0.6759589,-3.7417707,-1.4644287,8.422871,3.775128,-6.4524617,-3.0719488,1.5
15,49,40,51.3,05_23_03:00:07,0,-385.79364,68.44621,16.035957,24.339357,9.330362,6.2903395,3.1184318,-5.353103,-5.016733,2.7637663,-3.806468,-9.241577,-3.0708792,1.6
16,52,43,41.2,05_23_03:00:07,0,-409.914,80.66523,11.458275,23.362026,6.8187723,3.095964,-1.6906798,7.6022673,-4.8733683,6.236437,0.4986657,-5.8401113,-1.3941784,1.7
17,54,45,54.1,05_23_03:00:07,0,-434.72125,86.52213,13.911091,25.466614,10.850454,0.9393108,1.8244007,9.492772,5.406514,9.18546,4.0600524,-4.407256,-7.15446,1.8
18,57,48,27.5,05_23_03:00:07,0,-437.90042,93.11095,22.87645,31.110178,7.390519,3.9536579,0.07888746,10.465372,-5.895224,5.81973,-5.057457,5.5385165,-6.275275,1.9
19,60,50,69.8,05_23_03:00:07,0,-465.5441,102.755714,17.814075,29.351772,4.938501,2.432218,0.44738102,9.577549,2.3192296,9.517611,-1.2016659,-2.7409341,-6.5218253,2
