id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-370.1818,119.73052,4.4504547,7.6102448,7.894593,6.5186787,5.5788317,-1.620508,-11.815388,-5.877463,2.9538174,-1.0290755,-4.488696,4,4,44.5,10_11_20:20:05,0.2,0
1,-370.6742,114.28554,0.29949087,14.929531,7.6493363,-3.3052168,0.63367885,10.896811,-0.5087835,0.6844163,-1.2898195,3.8400378,-1.3729324,7,7,7.4,10_11_20:20:05,0.3,0
2,-364.61893,122.917114,1.6843281,12.2488985,8.097885,4.4997253,-2.3337774,5.751934,-1.804416,2.8055022,2.0466716,5.600701,-5.803697,10,9,43.3,10_11_20:20:05,0.4,0
3,-367.93134,120.186325,1.0510187,13.047379,13.876665,7.495819,6.6895685,6.2723722,-7.7147927,-0.032320976,1.9459147,1.0167191,-5.267013,13,12,41,10_11_20:20:05,0.5,0
4,-370.67123,118.96797,2.5059283,14.233025,9.576595,0.5188782,4.3609257,11.948978,-6.46248,0.74176925,-1.8943222,4.2272816,-0.30077928,16,14,17.5,10_11_20:20:05,0.6,0
5,-368.2296,118.884605,5.697417,12.258146,5.11907,-3.6696262,3.5237403,11.045357,3.0578258,3.841035,-3.2796955,3.2844164,-7.2122765,19,17,55.9,10_11_20:20:05,0.7,0
6,-369.0285,119.83412,4.046706,16.682766,12.79895,6.0013304,3.2025762,5.150841,-4.2860303,1.7773328,2.1204755,7.3254786,2.675922,22,19,36.3,10_11_20:20:05,0.8,0
7,-365.89093,118.86206,-1.9729447,13.615761,7.1931496,-2.1188989,1.3926305,6.826394,-9.223102,-0.79028755,2.804556,7.6167164,2.2430825,25,22,27.2,10_11_20:20:05,0.9,0
8,-365.40112,122.98033,3.292593,9.919512,7.278843,3.5665166,8.374915,10.237496,-3.950435,-0.38138244,-0.34965116,3.3871603,-5.4552555,28,24,24.4,10_11_20:20:05,1,0
9,-365.89624,121.32788,5.832548,12.331399,7.65621,1.8138158,1.8469858,2.4729066,-3.961676,6.8916655,-0.8606872,2.721833,0.27286226,31,27,38,10_11_20:20:05,1.1,0
10,-369.65274,121.94474,6.1453376,17.76628,4.838334,0.6966928,5.6690836,8.935015,2.5185518,0.5068008,-3.253952,3.8627324,-2.3053772,34,29,48.2,10_11_20:20:05,1.2,0
11,-367.79797,117.77808,2.773832,14.988128,9.405991,3.8734834,3.3959236,5.1992216,-4.096379,-1.8670368,4.043552,1.0772538,-11.509439,37,32,83.2,10_11_20:20:05,1.3,0
12,-370.0627,117.99846,2.1752014,13.6688595,13.074635,4.275277,2.2239764,4.4346614,-7.707313,-2.7646296,-0.36618876,0.7885208,-3.9064488,40,34,40.3,10_11_20:20:05,1.4,0
13,-370.5356,119.19606,4.968954,14.803719,14.281475,4.0455203,2.4999027,7.4047136,-4.491852,-0.22223586,-0.2848525,-0.8312503,-10.514061,43,37,60.4,10_11_20:20:05,1.5,0
14,-365.81204,120.45792,3.0766544,13.2962675,4.797862,-1.007522,-0.059220016,6.3510113,-0.485449,-0.14744881,-2.0642145,6.030766,6.2305636,46,39,45.3,10_11_20:20:05,1.6,0
