id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-375.07153,123.294426,8.861372,20.386856,17.444818,0.64905536,9.805489,13.989102,-0.038754553,10.755636,2.5260084,-5.939887,-8.024801,5,6,54.2,10_12_00:04:24,0.3,0
1,-372.66943,126.428856,10.853984,19.84808,12.690933,3.0067563,6.5888014,11.7397785,-1.6487391,1.5892488,-4.720573,0.6408466,-1.7681481,9,8,23.3,10_12_00:04:24,0.4,0
2,-370.18747,125.73674,4.8152742,18.33266,8.480394,4.010491,9.341234,13.636554,3.7274427,4.53405,-2.442809,6.909222,3.1515532,11,11,18,10_12_00:04:24,0.5,0
3,-371.54672,128.25381,7.1908054,21.56689,12.486515,0.54391736,8.136597,9.673815,-0.67016566,-0.6260433,-6.648322,1.2174948,-6.1390142,14,13,65.4,10_12_00:04:24,0.6,0
4,-370.3954,127.19864,7.3614125,20.57534,15.795397,9.49537,5.718012,4.9287057,-1.5295813,7.6377583,-1.3526003,1.1253163,-0.35040915,18,16,61.6,10_12_00:04:24,0.7,0
5,-366.95016,128.17659,6.9048443,19.607307,8.307137,3.6392138,4.402505,12.756897,2.1284683,6.2654066,-4.593835,-0.76653385,3.2809443,21,18,47.5,10_12_00:04:24,0.8,0
6,-364.6777,130.09741,4.9805207,14.564301,8.461249,5.229724,1.9541556,9.863464,-5.2134004,4.589374,2.3668938,3.7815173,-2.0825448,23,21,42.7,10_12_00:04:24,0.9,0
7,-341.32062,105.68981,2.5368333,21.767153,12.742998,5.648714,9.032335,9.556693,-9.03282,5.7046223,-0.96081626,2.428328,-4.414732,27,23,48.4,10_12_00:04:24,1,0
8,-366.06784,120.76112,5.937626,19.001102,8.519287,7.763249,5.0422935,5.2804623,-4.6471634,0.43479192,-6.028143,-4.0302243,-2.8617122,30,26,38.2,10_12_00:04:24,1.1,0
9,-369.3413,120.43555,-1.6150873,17.218267,13.579807,7.8617764,6.551676,14.556768,-3.319486,0.3723743,-0.33262852,0.9695907,-6.0669937,33,28,77.5,10_12_00:04:24,1.2,0
10,-367.43332,118.35269,2.9082391,16.239132,10.721962,11.576155,5.3639245,10.450483,-0.8576348,5.485773,-2.0918236,-2.4919255,-5.606548,36,31,24.8,10_12_00:04:24,1.3,0
11,-365.15823,123.65194,5.921873,25.543922,7.6778593,6.8494787,6.987259,12.594156,3.218406,1.0821357,-7.0147853,1.7667855,-1.8663776,39,33,39.8,10_12_00:04:24,1.4,0
12,-364.2727,124.23938,-0.3269927,17.829117,17.624504,11.608042,8.048998,11.027141,-1.857482,2.125992,-0.49735802,0.056644976,-3.7233665,42,36,44.3,10_12_00:04:24,1.5,0
